Name;"METEO - Air Temperature"
AKS;METEO:197:TT
Einheit;°C
"23.2301.26 00:00";-0.3
"23.2301.26 01:00";-0.4
"23.2301.26 02:00";-0.7
"23.2301.26 03:00";-0.5
"23.2301.26 04:00";-0.6
"23.2301.26 05:00";-0.5
"23.2301.26 06:00";-0.5
"23.2301.26 07:00";-1.7
"23.2301.26 08:00";-1.7
"23.2301.26 09:00";-1.5
"23.2301.26 10:00";-0.7
"23.2301.26 11:00";0.3
"23.2301.26 12:00";1.1
"23.2301.26 13:00";0.5
"23.2301.26 14:00";1.3
"23.2301.26 15:00";1.9
"23.2301.26 16:00";0.7
"23.2301.26 17:00";0.6
"23.2301.26 18:00";0.5
"23.2301.26 19:00";-0.6
"23.2301.26 20:00";-0.7
"23.2301.26 21:00";-0.6
"23.2301.26 22:00";-0.7
"23.2301.26 23:00";-0.6
"24.2401.26 00:00";-0.5
"24.2401.26 01:00";-0.7
"24.2401.26 02:00";-0.4
"24.2401.26 03:00";-0.2
"24.2401.26 04:00";0.1
"24.2401.26 05:00";0.0
"24.2401.26 06:00";0.1
"24.2401.26 07:00";-0.9
"24.2401.26 08:00";-0.9
"24.2401.26 09:00";-0.8
"24.2401.26 10:00";0.1
"24.2401.26 11:00";0.8
"24.2401.26 12:00";1.3
"24.2401.26 13:00";2.8
"24.2401.26 14:00";3.3
"24.2401.26 15:00";3.6
"24.2401.26 16:00";2.3
"24.2401.26 17:00";2.0
"24.2401.26 18:00";1.4
"24.2401.26 19:00";1.3
"24.2401.26 20:00";1.0
"24.2401.26 21:00";0.8
"24.2401.26 22:00";0.6
"24.2401.26 23:00";0.3
"25.2501.26 00:00";0.2
"25.2501.26 01:00";0.1
"25.2501.26 02:00";-0.1
"25.2501.26 03:00";-0.3
"25.2501.26 04:00";-0.3
"25.2501.26 05:00";-0.2
"25.2501.26 06:00";-0.3
"25.2501.26 07:00";-0.3
"25.2501.26 08:00";0.9
"25.2501.26 09:00";0.9
"25.2501.26 10:00";1.0
"25.2501.26 11:00";1.3
"25.2501.26 12:00";2.0
"25.2501.26 13:00";2.3
"25.2501.26 14:00";2.7
"25.2501.26 15:00";2.8
"25.2501.26 16:00";2.7
